stkcd,reptdt,ralatedpartyid,repart,relation,trasub,direction,repat,isam,principl,rigicy,cogicy,number,prvn,indusb,listplte,period
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,关键管理人员,09,1.0,2.0,20,7122600.0,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10202955.0,广东超能投资集团有限公司,12,1.0,2.0,13,65000000.0,03,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,邵剑梁,12,1.0,2.0,13,65000000.0,03,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,邵剑梁,12,1.0,2.0,13,65000000.0,03,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
